sequence_end_idx,anomaly_score_lstm,label
29,0.0026680082082748413,0
30,0.002696654759347439,0
31,0.002922804094851017,0
32,0.0022087579127401114,0
33,0.002453759778290987,0
34,0.002214259235188365,0
35,0.0022056486923247576,0
36,0.0019795128609985113,0
37,0.0019895005971193314,0
38,0.0019986890256404877,0
39,0.0019389574881643057,0
40,0.0016456861048936844,0
41,0.0016861483454704285,0
42,0.001953496364876628,0
43,0.0014710184186697006,0
44,0.0014642440946772695,0
45,0.0014518189709633589,0
46,0.0016708880430087447,0
47,0.0014418443897739053,0
48,0.0018325445707887411,0
49,0.001703312387689948,0
50,0.0018225363455712795,0
51,0.0020870515145361423,0
52,0.0023488823790103197,0
53,0.002257017185911536,0
54,0.001782960258424282,0
55,0.0019294159719720483,0
56,0.0016377873253077269,0
57,0.0014793655136600137,0
58,0.001546139712445438,0
59,0.0016171205788850784,0
60,0.001692942576482892,0
61,0.0017032255418598652,0
62,0.0015184455551207066,0
63,0.0018083604518324137,0
64,0.0020567686296999454,0
65,0.0018138802843168378,0
66,0.0019488229881972075,0
67,0.0019033176358789206,0
68,0.001870521460659802,0
69,0.001772802323102951,0
70,0.0017003805842250586,0
71,0.0022043001372367144,0
72,0.0015882287407293916,0
73,0.0017650627996772528,0
74,0.0017500639660283923,0
75,0.002048708498477936,0
76,0.0019939516205340624,0
77,0.002284539630636573,0
78,0.0019487825920805335,0
79,0.0020636196713894606,0
80,0.001983161084353924,0
81,0.0019420223543420434,0
82,0.0016116721089929342,0
83,0.00163861399050802,0
84,0.0016288807382807136,0
85,0.001755999750457704,0
86,0.0018717133207246661,0
87,0.00166890409309417,0
88,0.0017279837047681212,0
89,0.0019459986360743642,0
90,0.0019107821863144636,0
91,0.001913903746753931,0
92,0.002168721752241254,0
93,0.0017600443679839373,0
94,0.0015027010813355446,0
95,0.0017324821092188358,0
96,0.0015582547057420015,0
97,0.001961036352440715,0
98,0.0017447370337322354,0
99,0.0018968562362715602,0
100,0.002053709700703621,0
101,0.0015778817469254136,0
102,0.0017079198732972145,0
103,0.0016819346928969026,0
104,0.0021388898603618145,0
105,0.0016533428570255637,0
106,0.0017084861174225807,0
107,0.0017329055117443204,0
108,0.002226439071819186,0
109,0.002433153335005045,0
110,0.002457588678225875,0
111,0.0025385678745806217,0
112,0.0024528540670871735,0
113,0.0026134054642170668,0
114,0.002670415211468935,0
115,0.002231886610388756,0
116,0.002040320076048374,0
117,0.0020135086961090565,0
118,0.002010741736739874,0
119,0.0021705180406570435,0
120,0.0016515025636181235,0
121,0.0016497367760166526,0
122,0.0020443438552320004,0
123,0.001999381696805358,0
124,0.002095150528475642,0
125,0.001869317376986146,0
126,0.0020030937157571316,0
127,0.0015771117759868503,0
128,0.001720241503790021,0
129,0.0015573622658848763,0
130,0.0014904569834470749,0
131,0.001343010924756527,0
132,0.0015587280504405499,0
133,0.0018720480147749186,0
134,0.0016803441103547812,0
135,0.0018923652824014425,0
136,0.0022133211605250835,0
137,0.0023514991626143456,0
138,0.0018229512497782707,0
139,0.0016124851536005735,0
140,0.001467135502025485,0
141,0.0016125430120155215,0
142,0.0013815842103213072,0
143,0.0013524118112400174,0
144,0.0015670896973460913,0
145,0.0015571231488138437,0
146,0.0013265232555568218,0
147,0.0013368296204134822,0
148,0.0015320205129683018,0
149,0.0018608510727062821,0
150,0.0018465005559846759,0
151,0.002129574306309223,0
152,0.0017527390737086535,0
153,0.001724820933304727,0
154,0.0018123977351933718,0
155,0.0017639874713495374,0
156,0.0019501803908497095,0
157,0.002034139819443226,0
158,0.0018685171380639076,0
159,0.00216585211455822,0
160,0.002059376100078225,0
161,0.00204766308888793,0
162,0.002301005180925131,0
163,0.0020020660012960434,0
164,0.0021182838827371597,0
165,0.002143869176506996,0
166,0.0018924754112958908,0
167,0.001897479989565909,0
168,0.0020448656287044287,0
169,0.0019502720097079873,0
170,0.002321112435311079,0
171,0.0026237498968839645,0
172,0.0024612678680568933,0
173,0.002787680132314563,0
174,0.002809143392369151,0
175,0.0025590923614799976,0
176,0.0025702074635773897,0
177,0.002581818960607052,0
178,0.0023475170601159334,0
179,0.0022123409435153008,0
180,0.0022739761043339968,0
181,0.002243083668872714,0
182,0.0022117728367447853,0
183,0.0020353326108306646,0
184,0.002379703801125288,0
185,0.0026430729776620865,0
186,0.0025418060831725597,0
187,0.002770685590803623,0
188,0.002720098476856947,0
189,0.0024454924277961254,0
190,0.002381386235356331,0
191,0.0021752018947154284,0
192,0.0020702704787254333,0
193,0.0021298937499523163,0
194,0.002128017833456397,0
195,0.001613039174117148,0
196,0.001606113975867629,0
197,0.0015285288682207465,0
198,0.0017450430896133184,0
199,0.0015611790586262941,0
200,0.0011927176965400577,0
201,0.0013024889631196856,0
202,0.0014609573408961296,0
203,0.0012461114674806595,0
204,0.0013249602634459734,0
205,0.0013684430159628391,0
206,0.001445904141291976,0
207,0.0011862871469929814,0
208,0.0011498131789267063,0
209,0.0012142822379246354,0
210,0.0014497891534119844,0
211,0.0013709317427128553,0
212,0.0013838860904797912,0
213,0.0015967616345733404,0
214,0.0017586430767551064,0
215,0.0018281337106600404,0
216,0.001845294376835227,0
217,0.0016528833657503128,0
218,0.0014007146237418056,0
219,0.001165723311714828,0
220,0.0011273955460637808,0
221,0.0010500190546736121,0
222,0.0015404490986838937,0
223,0.0013247609604150057,0
224,0.001433688448742032,0
225,0.0018637457396835089,0
226,0.0018180800834670663,0
227,0.0021279247011989355,0
228,0.0020640678703784943,0
229,0.002120502293109894,0
230,0.002613993361592293,0
231,0.0026177801191806793,0
232,0.002599102444946766,0
233,0.0028570652939379215,0
234,0.002866768278181553,0
235,0.0026758997701108456,0
236,0.0024530054070055485,0
237,0.002233516424894333,0
238,0.0023722779005765915,0
239,0.0020115056540817022,0
240,0.0022466976661235094,0
241,0.002266376279294491,0
242,0.0022626647260040045,0
243,0.0022745374590158463,0
244,0.0022462510969489813,0
245,0.0021209237165749073,0
246,0.002319456310942769,0
247,0.002503582974895835,0
248,0.002518753055483103,0
249,0.002438157796859741,0
250,0.0025582488160580397,0
251,0.0028973117005079985,0
252,0.0024589011445641518,0
253,0.0024790822062641382,0
254,0.002147036837413907,0
255,0.002052762545645237,0
256,0.0021313440520316362,0
257,0.0022279657423496246,0
258,0.0021140375174582005,0
259,0.0022592449095100164,0
260,0.0017828248674049973,0
261,0.0018132615368813276,0
262,0.0016332397935912013,0
263,0.0016055313171818852,0
264,0.0011156228138133883,0
265,0.0011545255547389388,0
266,0.0011059531243517995,0
267,0.0014073860365897417,0
268,0.0013313030358403921,0
269,0.001641653012484312,0
270,0.0013733361847698689,0
271,0.0013054996961727738,0
272,0.0015840647974982858,0
273,0.0015106353675946593,0
274,0.0015436293324455619,0
275,0.0014187723863869905,0
276,0.0020074991043657064,0
277,0.0018608667887747288,0
278,0.001797715318389237,0
279,0.001998725812882185,0
280,0.001954730600118637,0
281,0.0018678760388866067,0
282,0.0017991018248721957,0
283,0.0019078342011198401,0
284,0.0015658959746360779,0
285,0.0014562163269147277,0
286,0.0013754593674093485,0
287,0.0014017036883160472,0
288,0.001469781156629324,0
289,0.0014964323490858078,0
290,0.0014205286279320717,0
291,0.0014440460363402963,0
292,0.0015771595062687993,0
293,0.0017026428831741214,0
294,0.0014908044831827283,0
295,0.0015558474697172642,0
296,0.0017101872945204377,0
297,0.0017904109554365277,0
298,0.0019335438264533877,0
299,0.0019528670236468315,0
300,0.0019973611924797297,0
301,0.0023659307043999434,0
302,0.0018947903299704194,0
303,0.002275825245305896,0
304,0.002270323457196355,0
305,0.00247471546754241,0
306,0.0018717740895226598,0
307,0.0016306530451402068,0
308,0.0016497219912707806,0
309,0.0016874648863449693,0
310,0.0017053456977009773,0
311,0.0015243396628648043,0
312,0.0017478743102401495,0
313,0.0019265940645709634,0
314,0.0018739833030849695,0
315,0.002006022958084941,0
316,0.0021251337602734566,0
317,0.0022957201581448317,0
318,0.002171193016692996,0
319,0.002353471936658025,0
320,0.002416940638795495,0
321,0.0027084106113761663,0
322,0.0024408772587776184,0
323,0.002482642885297537,0
324,0.002434487920254469,0
325,0.0024667673278599977,0
326,0.0025242550764232874,0
327,0.002171110827475786,0
328,0.0021095555275678635,0
329,0.0025499335024505854,0
330,0.002551386598497629,0
331,0.002228478668257594,0
332,0.0022003494668751955,0
333,0.00245597492903471,0
334,0.0024520501028746367,0
335,0.002478637732565403,0
336,0.002411531750112772,0
337,0.0028622557874768972,0
338,0.0031031642574816942,0
339,0.0033458732068538666,0
340,0.0038140600081533194,0
341,0.0037706538569182158,0
342,0.003741281107068062,0
